nb_nodes,inf_times,inf_nb_visits,supr_times,supr_nb_visits,med_times,med_nb_visits
0,6.198883056640625e-05,1,4.076957702636719e-05,1,4.410743713378906e-05,1
1,7.009506225585938e-05,2,6.604194641113281e-05,2,0.00027298927307128906,2
2,0.0001239776611328125,3,0.00011396408081054688,3,0.0002510547637939453,3
3,0.000186920166015625,4,0.00017595291137695312,4,0.00026798248291015625,4
4,0.0002570152282714844,5,0.0002410411834716797,5,0.0003349781036376953,5
5,0.0003349781036376953,6,0.0003390312194824219,6,0.0004439353942871094,6
6,0.0004489421844482422,7,0.00034499168395996094,6,0.00042819976806640625,6
7,0.0005140304565429688,8,0.0004858970642089844,8,0.0006349086761474609,8
8,0.00042700767517089844,8,0.0005819797515869141,9,0.0005218982696533203,8
9,0.0007600784301757812,10,0.0006737709045410156,10,0.00084686279296875,10
10,0.0008118152618408203,11,0.00078582763671875,11,0.0009629726409912109,11
11,0.0009758472442626953,12,0.000926971435546875,12,0.0010569095611572266,12
12,0.001085042953491211,13,0.0010600090026855469,13,0.0012378692626953125,13
13,0.0012679100036621094,14,0.001219034194946289,14,0.0013709068298339844,14
14,0.0014150142669677734,15,0.0013990402221679688,15,0.0016620159149169922,15
15,0.0017800331115722656,16,0.0015361309051513672,16,0.0018358230590820312,16
16,0.002490997314453125,16,0.0019390583038330078,17,0.0017168521881103516,16
17,0.0032820701599121094,18,0.0018420219421386719,18,0.0021219253540039062,18
18,0.0035300254821777344,19,0.0020418167114257812,19,0.002351045608520508,19
19,0.0038521289825439453,20,0.002171039581298828,19,0.002502918243408203,19
20,0.004079103469848633,20,0.0024378299713134766,21,0.0028319358825683594,20
21,0.004472970962524414,22,0.0024840831756591797,21,0.0029261112213134766,21
22,0.0034110546112060547,22,0.0016629695892333984,22,0.0016489028930664062,22
23,0.004937887191772461,24,0.0028600692749023438,24,0.0034132003784179688,24
24,0.0052869319915771484,25,0.003078937530517578,25,0.0035228729248046875,25
25,0.005032062530517578,24,0.003317117691040039,26,0.003473997116088867,24
26,0.006309986114501953,27,0.0034520626068115234,27,0.004233121871948242,27
27,0.004353046417236328,27,0.003709077835083008,28,0.002434968948364258,27
28,0.0069959163665771484,29,0.003942012786865234,29,0.004712820053100586,29
29,0.0050351619720458984,28,0.004220008850097656,30,0.003429889678955078,28
30,0.007639884948730469,31,0.0044879913330078125,31,0.005261898040771484,31
31,0.008152008056640625,32,0.00483393669128418,32,0.005500078201293945,32
32,0.008662939071655273,33,0.005121946334838867,33,0.005988121032714844,33
33,0.00925588607788086,34,0.005423069000244141,34,0.006118059158325195,34
34,0.009629011154174805,34,0.005807161331176758,35,0.006504058837890625,34
35,0.009228944778442383,35,0.005975008010864258,36,0.006268978118896484,35
36,0.0063478946685791016,37,0.006178855895996094,37,0.006986141204833984,37
37,0.006741046905517578,38,0.004565000534057617,37,0.007355928421020508,38
38,0.0070040225982666016,39,0.006711006164550781,39,0.007846832275390625,39
39,0.006382942199707031,39,0.007122993469238281,40,0.0070149898529052734,39
40,0.007662057876586914,41,0.00540614128112793,40,0.0084228515625,41
41,0.008241891860961914,42,0.0057179927825927734,40,0.006582975387573242,40
42,0.008797883987426758,43,0.007836103439331055,42,0.008950948715209961,42
43,0.0063741207122802734,40,0.008563995361328125,44,0.006590127944946289,40
44,0.009578943252563477,45,0.008879899978637695,45,0.010176897048950195,45
45,0.009991884231567383,46,0.009237051010131836,46,0.010679006576538086,46
46,0.010260820388793945,47,0.009621143341064453,47,0.011166095733642578,47
47,0.00670313835144043,47,0.007227897644042969,46,0.0064830780029296875,47
48,0.007419109344482422,47,0.010378122329711914,49,0.007645845413208008,47
49,0.01129293441772461,50,0.010957002639770508,50,0.01230621337890625,50
50,0.011684179306030273,51,0.00819706916809082,49,0.009086847305297852,49
51,0.012063980102539062,52,0.011742115020751953,52,0.01376795768737793,52
52,0.01028895378112793,50,0.012199163436889648,53,0.011321067810058594,50
53,0.013036012649536133,54,0.01269984245300293,54,0.015140056610107422,54
54,0.01357412338256836,55,0.009263038635253906,50,0.009676933288574219,50
55,0.013788938522338867,56,0.011198997497558594,54,0.01268911361694336,54
56,0.014102935791015625,57,0.013900041580200195,57,0.01630401611328125,57
57,0.014678001403808594,58,0.014345884323120117,58,0.01674795150756836,58
58,0.011224031448364258,54,0.014667987823486328,59,0.012549161911010742,54
59,0.010392904281616211,59,0.014967203140258789,60,0.010487794876098633,59
60,0.010946035385131836,59,0.015483856201171875,61,0.01102590560913086,59
61,0.01073002815246582,59,0.016018152236938477,62,0.010328054428100586,59
62,0.011900186538696289,61,0.013524055480957031,62,0.012338876724243164,61
63,0.01691889762878418,64,0.017257213592529297,64,0.020680904388427734,64
64,0.017483949661254883,65,0.0136871337890625,64,0.015282154083251953,64
65,0.01798391342163086,66,0.017979145050048828,66,0.02161717414855957,66
66,0.01459813117980957,63,0.01861119270324707,67,0.015610933303833008,63
67,0.015233039855957031,67,0.01904582977294922,68,0.015982866287231445,67
68,0.01965785026550293,69,0.014206886291503906,68,0.02187204360961914,69
69,0.02013707160949707,70,0.01394510269165039,67,0.014137029647827148,67
70,0.020745038986206055,71,0.01601099967956543,70,0.0234220027923584,71
71,0.016679048538208008,71,0.016309022903442383,71,0.01709604263305664,71
