nb_nodes,inf_times,inf_nb_visits,supr_times,supr_nb_visits,med_times,med_nb_visits
0,3.600120544433594e-05,1,5.91278076171875e-05,1,5.1975250244140625e-05,1
1,3.2901763916015625e-05,1,8.296966552734375e-05,2,0.0001800060272216797,1
2,4.220008850097656e-05,1,0.0001010894775390625,3,0.00016307830810546875,1
3,9.393692016601562e-05,4,9.703636169433594e-05,1,0.000164031982421875,1
4,0.0001277923583984375,5,0.00010204315185546875,1,0.00014090538024902344,1
5,7.82012939453125e-05,3,0.00016498565673828125,4,0.00016117095947265625,3
6,8.797645568847656e-05,3,0.00020003318786621094,5,0.00019502639770507812,3
7,6.318092346191406e-05,1,0.00041294097900390625,8,0.00012993812561035156,1
8,9.012222290039062e-05,3,0.00028395652770996094,7,0.00028014183044433594,3
9,0.00020599365234375,7,0.0002589225769042969,4,0.00021696090698242188,4
10,8.20159912109375e-05,1,0.0006949901580810547,11,0.00019598007202148438,1
11,0.0004050731658935547,11,0.0001270771026611328,2,0.00018596649169921875,2
12,0.000186920166015625,6,0.00039196014404296875,8,0.0003399848937988281,6
13,0.0005691051483154297,14,0.00013399124145507812,1,0.0002300739288330078,1
14,0.00010418891906738281,1,0.0009138584136962891,15,0.0002498626708984375,1
15,0.00041985511779785156,12,0.0002498626708984375,5,0.00032901763916015625,5
16,0.0007500648498535156,17,0.00016808509826660156,1,0.0002491474151611328,1
17,0.00018310546875,6,0.0007770061492919922,13,0.0003268718719482422,6
18,0.0008440017700195312,18,0.00018787384033203125,2,0.0003058910369873047,2
19,0.0001628398895263672,5,0.0010819435119628906,16,0.0003039836883544922,5
20,0.00012612342834472656,3,0.0013568401336669922,19,0.00032806396484375,3
21,0.00023794174194335938,7,0.0010669231414794922,16,0.0004210472106933594,7
22,0.0001571178436279297,4,0.0014739036560058594,20,0.00029397010803222656,4
23,0.0008499622344970703,18,0.00039386749267578125,7,0.00048613548278808594,7
24,0.0005409717559814453,13,0.0007891654968261719,13,0.0009219646453857422,13
