nb_nodes;inf_times;inf_nb_visits;supr_times;supr_nb_visits;med_times;med_nb_visits;;
0;3.504753112792969e-05;1;3.0994415283203125e-05;1;5.1975250244140625e-05;1;;0.0024097032
1;5.1021575927734375e-05;1;4.601478576660156e-05;2;0.000191927;1;;
2;0.0001070499;3;3.886222839355469e-05;1;0.000136137;1;;
3;8.392333984375e-05;2;8.392333984375e-05;3;0.0001280308;2;;
4;6.508827209472656e-05;1;0.0001490116;5;0.000164032;1;;
5;9.393692016601562e-05;2;0.0001280308;5;0.00015378;2;;
6;0.0001451969;3;0.0001540184;5;0.0001869202;3;;
7;8.702278137207031e-05;1;0.000221014;8;0.0001349449;1;;
8;0.0002439022;5;0.0001780987;5;0.0002510548;5;;
9;0.0001590252;3;0.000246048;8;0.0002048016;3;;
10;0.0004498959;9;0.0001101494;3;0.0001869202;3;;
11;0.0003490448;7;0.0002889633;6;0.0003261566;6;;
12;0.00060606;11;0.0001289845;3;0.000248909;3;;
13;0.0003118515;6;0.0003609657;9;0.0003340244;6;;
14;0.000841856;14;7.796287536621094e-05;2;0.0001978874;2;;
15;0.0001401901;1;0.0006370544;16;0.0001730919;1;;
16;0.0004489422;8;0.0004301071;10;0.0004909039;8;;
17;0.0003080368;6;0.0005190372;13;0.0003509521;6;;
18;0.0002260208;4;0.0006740093;16;0.0002930164;4;;
19;0.0001459122;2;0.0009310246;19;0.0002019405;2;;
20;0.0001850128;1;0.0010011196;21;0.0002448559;1;;
21;0.0001831055;2;0.00101614;21;0.0002200603;2;;
22;0.0004889965;9;0.0006260872;15;0.0005569458;9;;
23;0.0002000332;2;0.0012209415;23;0.0002639294;2;;
24;0.0002589226;4;0.0011160374;22;0.0003271103;4;;
25;0.0004160404;8;0.0009038448;19;0.0004560947;8;;
26;0.0021169186;25;0.0001280308;3;0.000248909;3;;
27;0.0010070801;15;0.0006101131;14;0.0008809566;14;;
28;0.0013401508;18;0.0005800724;12;0.0007820129;12;;
29;0.0022368431;27;0.0001590252;4;0.0002939701;4;;
30;0.0010590553;16;0.0007791519;16;0.0011150837;16;;
31;0.0026469231;28;0.0002250671;5;0.0003499985;5;;
32;0.0003330708;5;0.001901865;29;0.0003991127;5;;
33;0.0022687912;27;0.0003569126;8;0.0005431175;8;;
34;0.0011260509;17;0.0010619164;19;0.0012331009;17;;
35;0.0014460087;20;0.0008909702;17;0.0012450218;17;;
36;0.0029728413;32;0.0002369881;6;0.0004210472;6;;
37;0.0040400028;38;0.0001111031;1;0.0002281666;1;;
38;0.0017068386;21;0.0012099743;19;0.0014760494;19;;
39;0.0030260086;31;0.0006399155;10;0.0007498264;10;;
40;0.0032908916;33;0.0004038811;9;0.0007309914;9;;
41;0.0004010201;6;0.003289938;37;0.0004389286;6;;
42;0.0014848709;20;0.0015308857;24;0.0015161037;20;;
43;0.0023248196;27;0.0010390282;18;0.001500845;18;;
44;0.0034098625;34;0.0006110668;12;0.0009589195;12;;
45;0.0012741089;18;0.0020771027;29;0.0014610291;18;;
46;0.001666069;21;0.0019168854;27;0.0016310215;21;;
47;0.0043189526;37;0.0006268024;12;0.0011758804;12;;
48;0.0009639263;15;0.0029520988;35;0.0010159016;15;;
49;0.0060861111;45;0.0002729893;6;0.0006070137;6;;
50;0.0016999245;20;0.0025651455;32;0.0017819405;20;;
51;0.0020151138;25;0.0019261837;28;0.0022609234;25;;
52;0.0008490086;14;0.0034708977;40;0.0009720325;14;;
53;0.0034079552;34;0.0013639927;21;0.0017111301;21;;
54;0.0005509853;8;0.0045659542;48;0.0005199909;8;;
55;0.0003018379;3;0.0057590008;54;0.0003249645;3;;
56;0.0002939701;2;0.0062139034;56;0.0002980232;2;;
57;0.0008029938;13;0.0043258667;46;0.0008130074;13;;
58;0.0004141331;5;0.005892992;55;0.0003950596;5;;
59;0.0016009808;20;0.0034940243;41;0.0015480518;20;;
60;0.0033099651;31;0.0024330616;31;0.0031161308;31;;
61;0.0093221664;60;0.0001988411;3;0.0004839897;3;;
62;0.004513979;46;0.0009770393;18;0.0016050339;18;;
63;0.0019168854;28;0.0031681061;37;0.002781868;28;;
64;0.0048539639;49;0.0009989738;17;0.0014259815;17;;
65;0.0009710789;19;0.0046281815;48;0.0014569759;19;;
66;0.0063281059;57;0.0005640984;11;0.0008141994;11;;
67;0.0050280094;50;0.0010950565;19;0.0015671253;19;;
68;0.0009169579;18;0.0053761005;52;0.0013790131;18;;
69;0.0015411377;26;0.0042090416;45;0.0021049976;26;;
70;0.0081429482;63;0.0004360676;9;0.0007960796;9;;
71;0.0030791759;38;0.0029120445;35;0.004062891;35;;
72;0.0008769035;17;0.0066189766;57;0.0011639595;17;;
73;0.0002481937;3;0.0100331306;72;0.0004050732;3;;
74;0.0027649403;36;0.0041790009;40;0.0038070679;36;;
75;0.0014200211;23;0.0059020519;54;0.0019249916;23;;
76;0.0006999969;15;0.0076639652;63;0.0011389256;15;;
77;0.00111413;20;0.0068869591;59;0.0016829967;20;;
78;0.000387907;8;0.0098588467;72;0.0006380081;8;;
