nb_nodes,nb_visits,time
0,0,3.0994415283203125e-06
100,4925,1.7567310333251953
200,19507,13.400755882263184
300,43927,46.771350145339966
400,78357,131.71394109725952
500,122445,264.3677430152893
600,176295,514.8141160011292
700,239391,861.5223050117493
800,313183,1294.9192378520966
900,394708,1972.2897310256958
1000,487710,2483.6553580760956
1100,590051,3593.0226500034332
1200,703876,4579.223699092865
1300,826433,5803.692655086517
1400,957391,7366.21844792366
1500,1097695,9036.099601984024
1600,1248753,11229.755922079086
1700,1409485,13535.721216917038
1800,1581134,16145.007853984833
1900,1759474,19559.209989070892
2000,1949222,22770.959811925888
2100,2149927,29094.713545084
